-31,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-30,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-29,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-28,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-27,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-26,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-25,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-24,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-23,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-22,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-21,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-20,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-19,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-18,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-17,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-16,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-15,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-14,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-13,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-12,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-11,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-10,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-9,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-8,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
-7,,,,,,,,0,,,,,,"Y","N",3/3/2005 0:00:00,1,,,,,,
